ID	問題	画像	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	選択肢7	正解番号	解説
V001	"フカエルナ\nフカルエナ"	""	"同"	"異"	""	""	""	""	""	2	"3文字目と4文字目が入れ替わっています。"
V002	"コタギデソ\nコタギデソ"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V003	"08371\n08317"	""	"同"	"異"	""	""	""	""	""	2	"末尾2桁が入れ替わっています。"
V004	"94825\n94825"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V005	"OBQSR\nQBOSR"	""	"同"	"異"	""	""	""	""	""	2	"先頭の2文字が入れ替わっています。"
V006	"uwuvW\nuwVWV"	""	"同"	"異"	""	""	""	""	""	2	"大文字と小文字の組み合わせが異なります。"
V007	"流淚海泥漢\n流淚海泥漢"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V008	"芋草藻花芝\n芋草藻芝花"	""	"同"	"異"	""	""	""	""	""	2	"「花」と「芝」の順序が入れ替わっています。"
V009	"わいるなこ\nわるいなこ"	""	"同"	"異"	""	""	""	""	""	2	"「い」と「る」の順序が異なります。"
V010	"そぬならわ\nそぬならね"	""	"同"	"異"	""	""	""	""	""	2	"末尾の1文字が異なります。"
V011	"ЭЕШME\nЕЭШТЕ"	""	"同"	"異"	""	""	""	""	""	2	"キリル文字の並びと英字が異なります。"
V012	"ШЕМЕЗ\nШЕМЕЗ"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V013	"ワラクウタ\nワラウクタ"	""	"同"	"異"	""	""	""	""	""	2	"「ク」と「ウ」の位置が異なります。"
V014	"ユキオイナ\nユキオイナ"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V015	"28357\n28357"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V016	"52501\n62510"	""	"同"	"異"	""	""	""	""	""	2	"複数の数字が異なります。"
V017	"把握（ハアク）"	""	"正"	"誤"	""	""	""	""	""	1	"読みは「はあく」で正しいです。"
V018	"投影（トウケイ）"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「とうえい」と読みます。"
V019	"兼用（ケンヨウ）"	""	"正"	"誤"	""	""	""	""	""	1	"読みは「けんよう」で正しいです。"
V020	"珍重（チンジュウ）"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「ちんちょう」と読みます。"
V021	"柔和（ジュウワ）"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「にゅうわ」と読みます。"
V022	"規範（キハン）"	""	"正"	"誤"	""	""	""	""	""	1	"読みは「きはん」で正しいです。"
V023	"斡旋（アッセン）"	""	"正"	"誤"	""	""	""	""	""	1	"読みは「あっせん」で正しいです。"
V024	"遂行（ツイコウ）"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「すいこう」と読みます。"
V025	"疾病（シッペイ）"	""	"正"	"誤"	""	""	""	""	""	1	"読みは「しっぺい」で正しいです。"
V026	"重鎮（ジュウシン）"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「じゅうちん」と読みます。"
V027	"レンタイ（連体）して責任をおう。"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「連帯」と書きます。"
V028	"毎年お盆にはキセイ（帰省）する。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「帰省」で正しいです。"
V029	"環境問題にカンシン（関心）をもつ。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「関心」で正しいです。"
V030	"それはコダイ（誇大）広告だ。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「誇大」で正しいです。"
V031	"多様なヨウト（用途）に使われる。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「用途」で正しいです。"
V032	"創意とクフウ（工夫）が凝らされている。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「工夫」で正しいです。"
V033	"フクザツ（複雑）な気持ちになる。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「複雑」で正しいです。"
V034	"食器を戸棚にシュウノウ（収納）する。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「収納」で正しいです。"
V035	"イッキイチユウ（一喜一憂）する。"	""	"正"	"誤"	""	""	""	""	""	1	"漢字は「一喜一憂」で正しいです。"
V036	"テキカク（適格）な判断だ。"	""	"正"	"誤"	""	""	""	""	""	2	"正しくは「的確」と書きます。"
V037	"とけあって一つになること"	""	"合体"	"融合"	"統一"	"一体"	"合算"	""	""	2	"異なるものが溶け合って混ざることは「融合」です。"
V038	"内容に乏しいこと"	""	"外見"	"真空"	"軽薄"	"虚偽"	"空疎"	""	""	5	"形だけで実質が伴わないことを「空疎」といいます。"
V039	"支配、管理が及ぶ範囲"	""	"管轄"	"地域"	"面積"	"国家"	"区域"	""	""	1	"権限の及ぶ範囲を「管轄」といいます。"
V040	"上品で深みがあること"	""	"かいがいしい"	"めめしい"	"しおらしい"	"いじらしい"	"おくゆかしい"	""	""	5	"控えめで上品な様子を「おくゆかしい」といいます。"
V041	"実際よりもおおげさに表現すること"	""	"自慢"	"虚栄"	"誇張"	"拡大"	"膨張"	""	""	3	"事実よりも大きく見せることを「誇張」といいます。"
V042	"つじつまが合わないこと"	""	"迂回"	"矛盾"	"逆説"	"複雑"	"弁明"	""	""	2	"前後のつじつまが合わないことは「矛盾」です。"
